stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor2rate,sigma_motor2rate,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_waku,w_racer,w_motor2rate,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,6626,5.052912,1.385639,53.916916,5.102415,33.093626,12.198738,50.000963,6.322582,6.5e-05,0.158488,0.365188,0.23031,0.088985,0.217694,0.097823,3.532448,1.696996,0.788509,0.211491,0
戸田,5449,5.042371,1.244248,53.092611,4.105032,33.860481,6.67565,49.999923,6.194692,0.000848,0.334252,0.292124,0.314555,0.083279,0.218902,0.09114,3.541751,1.693897,0.804525,0.195475,0
江戸川,4759,5.086654,1.387942,53.385227,4.26734,33.9818,10.78649,50.001635,10.002673,-0.000796,0.184802,0.45487,0.284526,0.065878,0.075731,0.118996,3.548224,1.691647,0.785363,0.214637,0
平和島,5361,5.062092,1.314205,53.139252,4.081886,34.82862,8.85015,49.99813,6.385698,0.001109,0.289777,0.313649,0.293384,0.109492,0.218966,0.064509,3.535534,1.696716,0.765472,0.234528,0
多摩川,5214,5.037801,1.460313,53.339921,4.2487,33.77412,12.203033,50.014571,5.651977,0.000335,0.199802,0.35421,0.237687,0.082931,0.239393,0.085779,3.531454,1.697397,0.703607,0.296393,0
浜名湖,6275,5.044989,1.522702,53.780955,4.984058,32.883108,12.006687,49.985977,6.077495,-0.000634,0.351357,0.387437,0.197574,0.083204,0.252101,0.079684,3.531315,1.696896,0.738853,0.261147,0
蒲郡,7036,5.049294,1.593574,53.52637,5.083249,33.957156,6.636534,50.003228,6.19873,-0.000478,0.180455,0.384289,0.252157,0.056925,0.221849,0.08478,3.535247,1.696075,0.712009,0.287991,0
常滑,6067,5.046066,1.645128,54.057659,5.24589,33.544233,8.398297,49.990524,6.405132,0.000234,0.196406,0.380626,0.205222,0.061956,0.254083,0.098113,3.526949,1.698774,0.72489,0.27511,0
津,5194,5.042166,1.707205,53.80856,5.258605,32.366578,12.091409,49.999282,5.555051,-6.7e-05,0.128101,0.425085,0.222752,0.048782,0.233021,0.07036,3.532538,1.696959,0.711449,0.288551,0
三国,5321,5.041311,1.551213,52.798729,3.555081,32.86278,11.907294,49.993899,6.997476,-0.000232,0.108061,0.385581,0.290045,0.082177,0.167366,0.074831,3.537869,1.69396,0.712388,0.287612,0
びわこ,5529,5.047449,1.478887,53.426554,4.124047,33.272263,12.023716,50.00066,5.951876,0.000169,0.134646,0.412809,0.241862,0.069959,0.191236,0.084133,3.534636,1.695462,0.738384,0.261616,0
住之江,5245,5.05078,1.714649,55.068527,6.018995,32.470514,12.164082,50.00032,8.079572,0.000317,0.245399,0.435448,0.188386,0.089969,0.226146,0.06005,3.542993,1.694018,0.721676,0.278324,0
尼崎,6390,5.044574,1.639881,54.652731,5.778634,32.89599,11.561879,50.000646,7.751001,0.000168,0.181931,0.39766,0.191441,0.084938,0.247429,0.078532,3.537246,1.695923,0.726392,0.273608,0
鳴門,4931,5.048345,1.32993,54.65852,5.654468,32.937925,12.18517,50.016604,5.939722,0.000323,0.165141,0.360747,0.188254,0.077204,0.252768,0.121027,3.539242,1.694897,0.795438,0.204562,0
丸亀,6269,5.056235,1.605568,53.410293,4.035731,33.776156,7.739245,49.998639,6.094445,0.000286,0.168378,0.378081,0.233854,0.08523,0.217222,0.085612,3.533897,1.696837,0.722154,0.277846,0
児島,6966,5.037571,1.581334,53.413117,4.45747,33.348431,9.60077,49.994914,5.554725,-0.000111,0.148376,0.419537,0.222954,0.059369,0.189163,0.108976,3.529285,1.698048,0.742747,0.257253,0
宮島,6378,5.057169,1.587731,54.027378,5.225795,33.4643,7.415451,49.999621,6.028583,-0.000291,0.153506,0.461747,0.192903,0.076394,0.190795,0.07816,3.543117,1.692986,0.728926,0.271074,0
徳山,6637,5.045252,1.825569,53.092673,4.087669,32.818898,12.161072,50.020868,8.090653,5.5e-05,0.152516,0.441831,0.252226,0.050022,0.195421,0.0605,3.523429,1.699321,0.642801,0.357199,0
下関,5303,5.045988,1.735089,53.384122,4.401265,33.061799,11.931141,50.000909,6.348066,0.000106,0.139252,0.435054,0.223238,0.045554,0.201809,0.094345,3.525929,1.699585,0.701445,0.298555,0
若松,5925,5.047879,1.601938,53.88189,5.08522,33.208132,8.474966,49.987597,7.048547,-0.000236,0.166721,0.401315,0.224762,0.058616,0.223192,0.092115,3.533502,1.696688,0.704739,0.295261,0
芦屋,4147,5.043977,1.631862,54.969621,6.147601,33.402975,12.074135,49.994343,7.101195,-0.000464,0.20844,0.467592,0.142919,0.068296,0.21069,0.110503,3.541114,1.695804,0.741909,0.258091,0
福岡,3614,5.057762,1.742252,53.996518,5.303743,31.434789,13.729439,49.990153,6.895617,-0.000362,0.14916,0.437836,0.201236,0.064838,0.259746,0.036343,3.540398,1.69406,0.653997,0.346003,0
唐津,6283,5.048412,1.656673,53.771906,4.928264,33.423393,7.690515,49.995564,5.928912,-0.000252,0.144244,0.450377,0.227424,0.070144,0.18068,0.071374,3.541461,1.693625,0.686442,0.313558,0
大村,5481,5.04228,1.759646,53.688701,4.958142,33.658854,11.059435,49.99662,6.622774,0.000164,0.150991,0.475907,0.190139,0.044586,0.201722,0.087645,3.536581,1.694993,0.685686,0.314314,0
