出目,c1,c2,c3,P
1-2-3,1,2,3,0.07549610428974012
1-3-2,1,3,2,0.0568286798908082
1-2-4,1,2,4,0.0549325115692008
1-3-4,1,3,4,0.04828336075706958
1-2-5,1,2,5,0.04024559064645105
1-3-5,1,3,5,0.03588663466070159
1-4-2,1,4,2,0.03552029127841658
1-4-3,1,4,3,0.03025092745767755
1-4-5,1,4,5,0.024053563424378588
1-5-2,1,5,2,0.023337329538998936
1-2-6,1,2,6,0.02253181404449659
2-1-3,2,1,3,0.02157048035648071
1-5-3,1,5,3,0.021404345152566794
1-3-6,1,3,6,0.020685815509605958
2-1-4,2,1,4,0.01627581485787039
3-1-4,3,1,4,0.016270507562983132
1-4-6,1,4,6,0.015434930832394994
1-5-4,1,5,4,0.01492934177672965
3-1-5,3,1,5,0.013763487190490626
3-1-2,3,1,2,0.013193650116958314
2-1-5,2,1,5,0.012499796088395273
4-1-5,4,1,5,0.009941894027413514
2-3-1,2,3,1,0.009581701655520613
1-5-6,1,5,6,0.009392570197981625
1-6-2,1,6,2,0.009246210662775785
2-3-4,2,3,4,0.009040886509851668
1-6-3,1,6,3,0.008679525660486456
3-2-4,3,2,4,0.008468870671790169
4-2-1,4,2,1,0.008398663874889327
4-1-2,4,1,2,0.008297648494888574
4-5-1,4,5,1,0.00814047195629319
2-4-1,2,4,1,0.007447669793994037
3-2-1,3,2,1,0.007269207134353366
3-4-1,3,4,1,0.007133986767758863
3-2-5,3,2,5,0.007104248079143226
5-1-2,5,1,2,0.00707734424517107
2-1-6,2,1,6,0.006972625503740105
4-1-3,4,1,3,0.00690899793254382
3-1-6,3,1,6,0.006907186228677763
2-3-5,2,3,5,0.006789666012977219
1-6-4,1,6,4,0.006622507637754305
3-4-5,3,4,5,0.006211324165100487
2-4-3,2,4,3,0.006149842572638671
3-4-2,3,4,2,0.00602241936224062
4-5-6,4,5,6,0.00581504970607244
3-5-1,3,5,1,0.005763469321875056
4-1-6,4,1,6,0.005755481201159372
4-5-2,4,5,2,0.005607392958165376
5-1-4,5,1,4,0.00547086838709824
4-2-5,4,2,5,0.005420887408356618
5-1-3,5,1,3,0.005344943225593258
5-1-6,5,1,6,0.005330511909447845
4-3-1,4,3,1,0.004911660369396522
2-4-5,2,4,5,0.00488174138934837
1-6-5,1,6,5,0.004879036718988859
4-3-5,4,3,5,0.004779319789798095
4-2-3,4,2,3,0.004698276111121368
4-5-3,4,5,3,0.004631854058269317
3-5-4,3,5,4,0.00453048795621643
3-5-2,3,5,2,0.004337957379092923
2-5-1,2,5,1,0.00433503488910841
3-4-6,3,4,6,0.00423888481868398
5-2-1,5,2,1,0.00420058852968469
2-3-6,2,3,6,0.004118115607094303
2-5-3,2,5,3,0.003954116106084136
4-2-6,4,2,6,0.0038593622820348957
5-4-1,5,4,1,0.0037871025074755664
3-5-6,3,5,6,0.0037252150067555363
4-3-6,4,3,6,0.003662449574241276
3-2-6,3,2,6,0.0036423624365664723
2-4-6,2,4,6,0.0036367476779119753
2-5-4,2,5,4,0.003387152513547612
4-6-1,4,6,1,0.0032795931115653116
4-6-5,4,6,5,0.0031455912728154843
5-4-6,5,4,6,0.0031088207521933003
4-3-2,4,3,2,0.0030455205346519047
5-3-1,5,3,1,0.002810394970944817
5-4-2,5,4,2,0.0026202591968581142
5-2-3,5,2,3,0.0025638191979629544
5-6-1,5,6,1,0.002536026855514511
5-3-2,5,3,2,0.002522396270555954
2-5-6,2,5,6,0.0025208820179897563
3-6-1,3,6,1,0.0025135252962076855
4-6-2,4,6,2,0.0024882414361063637
5-2-6,5,2,6,0.0023586961320106585
6-1-2,6,1,2,0.00226361849061623
2-6-1,2,6,1,0.0021984897519325237
5-2-4,5,2,4,0.0021236666894246044
3-6-4,3,6,4,0.002041216092455888
5-3-6,5,3,6,0.0019139231295419246
5-3-4,5,3,4,0.0018992212741646788
4-6-3,4,6,3,0.0018335861975102325
2-6-3,2,6,3,0.0017577065356841695
5-4-3,5,4,3,0.0017455080320533476
5-6-2,5,6,2,0.0016579202748416536
6-1-3,6,1,3,0.0016480462076582715
2-6-4,2,6,4,0.0016329419150002244
6-2-1,6,2,1,0.0016160990752618
3-6-2,3,6,2,0.0016020160989430258
6-1-4,6,1,4,0.0015550225625535008
5-6-3,5,6,3,0.0013195084183477892
5-6-4,5,6,4,0.0013192030344833397
2-6-5,2,6,5,0.0013182513806252484
3-6-5,3,6,5,0.001289815766389583
6-3-1,6,3,1,0.0010857508381051624
6-2-3,6,2,3,0.0010278724302610423
6-1-5,6,1,5,0.0009335647943997888
6-3-2,6,3,2,0.0008953639818819862
6-4-1,6,4,1,0.0008036384127120246
6-4-5,6,4,5,0.0007952985331943915
6-2-5,6,2,5,0.0007785487588059471
6-3-4,6,3,4,0.0007765466273113
6-5-1,6,5,1,0.0007347047834339568
6-2-4,6,2,4,0.0006899764520265183
6-5-2,6,5,2,0.0006669566735528592
6-4-3,6,4,3,0.0005881816603338613
6-4-2,6,4,2,0.0005849840087618416
6-3-5,6,3,5,0.0005599458703195312
6-5-3,6,5,3,0.0004614576082318365
6-5-4,6,5,4,0.0004611646042143097
